variant,blocked,horizon,layout_seed,model,model_label,biased_argmin_top1,strict_top1,tie_aware_top1,mean_tie_count,same_action_diff_state_win,same_action_diff_state_margin,same_action_diff_state_count,same_state_diff_action_win,same_state_diff_action_margin,same_state_diff_action_count
block3_h72_seed21,3,72,21,tiny_full_seed0,Tiny,0.805276,0.805276,0.805276,1.0,0.856784,0.112669,1592,0.992462,0.135751,1592
block3_h72_seed21,3,72,21,small_full_seed0,Small,0.734925,0.734925,0.734925,1.0,0.793342,0.098355,1592,0.990578,0.144566,1592
block3_h72_seed21,3,72,21,medium_full_seed0,Medium,0.825377,0.825377,0.825377,1.0,0.879397,0.116256,1592,0.984925,0.136911,1592
block3_h72_seed21,3,72,21,full_seed0,Full,0.802764,0.802764,0.802764,1.0,0.840452,0.120977,1592,0.977387,0.137976,1592
block3_h72_seed22,3,72,22,tiny_full_seed0,Tiny,0.825495,0.825495,0.825495,1.0,0.87005,0.110529,1616,0.986386,0.133797,1616
block3_h72_seed22,3,72,22,small_full_seed0,Small,0.72896,0.72896,0.72896,1.0,0.779084,0.092153,1616,0.987005,0.141415,1616
block3_h72_seed22,3,72,22,medium_full_seed0,Medium,0.852723,0.852723,0.852723,1.0,0.895421,0.117747,1616,0.977104,0.135863,1616
block3_h72_seed22,3,72,22,full_seed0,Full,0.821782,0.821782,0.821782,1.0,0.844678,0.120977,1616,0.979579,0.134287,1616
block4_h36_seed20,4,36,20,tiny_full_seed0,Tiny,0.581907,0.581907,0.581907,1.0,0.745721,0.0335,1636,0.948044,0.063101,1636
block4_h36_seed20,4,36,20,small_full_seed0,Small,0.574572,0.574572,0.574572,1.0,0.743888,0.037649,1636,0.943154,0.066089,1636
block4_h36_seed20,4,36,20,medium_full_seed0,Medium,0.570905,0.570905,0.570905,1.0,0.759169,0.037426,1636,0.926039,0.063772,1636
block4_h36_seed20,4,36,20,full_seed0,Full,0.53423,0.53423,0.53423,1.0,0.742054,0.03739,1636,0.882641,0.063084,1636
block4_h36_seed21,4,36,21,tiny_full_seed0,Tiny,0.585662,0.585662,0.585662,1.0,0.735115,0.031063,1646,0.953827,0.062503,1646
