seed,split,method,error,identity_error,global_error,improvement_vs_identity,improvement_vs_global,ratio_vs_identity,alpha_mean,alpha_std,pearson_oracle,spearman_oracle,auc_top25_oracle,ridge_alpha
1,test,global_alpha_val,1.59995436668396,1.6069767475128174,1.59995436668396,0.007022380828857422,0.0,0.9956300669317548,0.38,0.0,,,,
1,test,oracle_per_sample_alpha,1.584238886833191,1.6069767475128174,1.59995436668396,0.022737860679626465,0.015715479850769043,0.9858505353516666,0.2740359306335449,0.3267611861228943,1.0,1.0,1.0,
2,val,compact_hgb_raw,1.42780339717865,1.4321844577789307,1.4239695072174072,0.004381060600280762,-0.0038338899612426758,0.9969409941739802,0.5529288649559021,0.18530282378196716,0.14023381550492195,0.12496671326129234,0.5942998301927254,
2,val,compact_hgb_affine_val_calibrated,1.423750638961792,1.4321844577789307,1.4239695072174072,0.008433818817138672,0.00021886825561523438,0.9941112202612378,0.3514079451560974,0.057443875819444656,0.1402338167129089,0.12496668618440794,0.5942998077094382,
2,test,compact_hgb_raw,1.6012918949127197,1.6069767475128174,1.5991731882095337,0.005684852600097656,-0.002118706703186035,0.9964623927453236,0.5361373424530029,0.17436043918132782,0.15945617036178192,0.17574304307660396,0.6067567119016768,
2,test,compact_hgb_affine_val_calibrated,1.5989729166030884,1.6069767475128174,1.5991731882095337,0.008003830909729004,0.0002002716064453125,0.9950193237567894,0.3462025821208954,0.05405173823237419,0.15945617014742383,0.17574302893206917,0.606756708823523,
2,val,rich_ridge_raw,1.431296706199646,1.4321844577789307,1.4239695072174072,0.000887751579284668,-0.0073271989822387695,0.9993801415910759,0.6116340160369873,0.1944550722837448,0.05363986902972856,0.06373082472761055,0.5313735836034963,10000.0
2,val,rich_ridge_affine_val_calibrated,1.423956036567688,1.4321844577789307,1.4239695072174072,0.008228421211242676,1.3470649719238281e-05,0.9942546358700167,0.35281437635421753,0.013611854054033756,0.053639862984845146,0.06373079182156648,0.5313736060867834,10000.0
2,test,rich_ridge_raw,1.6020427942276,1.6069767475128174,1.5991731882095337,0.004933953285217285,-0.0028696060180664062,0.9969296672818361,0.5334615111351013,0.18998511135578156,0.13267102962228167,0.1484931113106176,0.5882225985436331,10000.0
2,test,rich_ridge_affine_val_calibrated,1.5991286039352417,1.6069767475128174,1.5991731882095337,0.007848143577575684,4.458427429199219e-05,0.9951162058880301,0.347342312335968,0.013298958539962769,0.1326710252162167,0.14849313482055043,0.5882226221428126,10000.0
2,val,global_alpha_val,1.4239695072174072,1.4321844577789307,1.4239695072174072,0.008214950561523438,0.0,0.9942640415367561,0.35000000000000003,0.0,,,,
2,val,oracle_per_sample_alpha,1.4037489891052246,1.4321844577789307,1.4239695072174072,0.028435468673706055,0.020220518112182617,0.9801453866369947,0.2747311592102051,0.3464423716068268,1.0,1.0,1.0,
2,test,global_alpha_val,1.5991731882095337,1.6069767475128174,1.5991731882095337,0.007803559303283691,0.0,0.9951439500818157,0.35000000000000003,0.0,,,,
2,test,oracle_per_sample_alpha,1.583669900894165,1.6069767475128174,1.5991731882095337,0.023306846618652344,0.015503287315368652,0.9854964630603863,0.2922458350658417,0.33515414595603943,1.0,1.0,1.0,
