lambda,variant,model,top1,checkpoint_mb,cost_proxy,utility,same_action_diff_state_win,same_state_diff_action_win
0.2,"2-block, V=1.8",Medium,0.979695,3.986543655395508,0.1855720766229722,0.9425805846754055,0.988579,0.997462
0.2,"2-block, V=1.8",Full,0.994924,21.48245429992676,1.0,0.794924,0.998731,0.998731
0.2,"3-block, H=36",Tiny,0.894866,0.3932209014892578,0.01830428199680138,0.8912051436006397,0.933985,0.991443
0.2,"3-block, H=36",Small,0.897311,1.1517658233642578,0.05361425688535897,0.8865881486229281,0.93643,0.99511
0.2,"3-block, H=36",Medium,0.863081,3.986543655395508,0.1855720766229722,0.8259665846754055,0.9022,0.984108
0.2,"3-block, H=36",Full,0.828851,21.48245429992676,1.0,0.628851,0.863081,0.979218
0.2,"3-block, H=48",Tiny,0.868159,0.3932209014892578,0.01830428199680138,0.8644981436006397,0.909204,0.992537
0.2,"3-block, H=48",Small,0.853234,1.1517658233642578,0.05361425688535897,0.8425111486229282,0.896766,0.997512
0.2,"3-block, H=48",Medium,0.883085,3.986543655395508,0.1855720766229722,0.8459705846754055,0.916667,0.995025
0.2,"3-block, H=48",Full,0.840796,21.48245429992676,1.0,0.6407959999999999,0.879353,0.992537
0.2,"3-block, H=72",Tiny,0.815981,0.3932209014892578,0.01830428199680138,0.8123201436006396,0.868039,0.992736
0.2,"3-block, H=72",Small,0.731235,1.1517658233642578,0.05361425688535897,0.7205121486229282,0.786925,0.991525
0.2,"3-block, H=72",Medium,0.842615,3.986543655395508,0.1855720766229722,0.8055005846754055,0.887409,0.979419
0.2,"3-block, H=72",Full,0.818402,21.48245429992676,1.0,0.6184019999999999,0.857143,0.976998
0.3,"2-block, H=72",Tiny,0.953125,0.3932209014892578,0.01830428199680138,0.9476337154009595,0.96875,0.986779
0.3,"2-block, H=72",Small,0.929087,1.1517658233642578,0.05361425688535897,0.9130027229343923,0.953125,0.985577
0.3,"2-block, H=72",Medium,0.955529,3.986543655395508,0.1855720766229722,0.8998573770131083,0.97476,0.986779
0.3,"2-block, H=72",Full,0.97476,21.48245429992676,1.0,0.67476,0.986779,0.986779
0.3,"2-block, V=1.8",Tiny,0.994924,0.3932209014892578,0.01830428199680138,0.9894327154009597,1.0,0.997462
0.3,"2-block, V=1.8",Small,0.98731,1.1517658233642578,0.05361425688535897,0.9712257229343924,0.992386,0.998731
0.3,"2-block, V=1.8",Medium,0.979695,3.986543655395508,0.1855720766229722,0.9240233770131083,0.988579,0.997462
0.3,"2-block, V=1.8",Full,0.994924,21.48245429992676,1.0,0.6949240000000001,0.998731,0.998731
0.3,"3-block, H=36",Tiny,0.894866,0.3932209014892578,0.01830428199680138,0.8893747154009597,0.933985,0.991443
0.3,"3-block, H=36",Small,0.897311,1.1517658233642578,0.05361425688535897,0.8812267229343923,0.93643,0.99511
0.3,"3-block, H=36",Medium,0.863081,3.986543655395508,0.1855720766229722,0.8074093770131083,0.9022,0.984108
0.3,"3-block, H=36",Full,0.828851,21.48245429992676,1.0,0.528851,0.863081,0.979218
0.3,"3-block, H=48",Tiny,0.868159,0.3932209014892578,0.01830428199680138,0.8626677154009597,0.909204,0.992537
0.3,"3-block, H=48",Small,0.853234,1.1517658233642578,0.05361425688535897,0.8371497229343924,0.896766,0.997512
0.3,"3-block, H=48",Medium,0.883085,3.986543655395508,0.1855720766229722,0.8274133770131084,0.916667,0.995025
0.3,"3-block, H=48",Full,0.840796,21.48245429992676,1.0,0.540796,0.879353,0.992537
0.3,"3-block, H=72",Tiny,0.815981,0.3932209014892578,0.01830428199680138,0.8104897154009596,0.868039,0.992736
0.3,"3-block, H=72",Small,0.731235,1.1517658233642578,0.05361425688535897,0.7151507229343923,0.786925,0.991525
0.3,"3-block, H=72",Medium,0.842615,3.986543655395508,0.1855720766229722,0.7869433770131083,0.887409,0.979419
0.3,"3-block, H=72",Full,0.818402,21.48245429992676,1.0,0.518402,0.857143,0.976998
