cheap_seed,lambda,heldout,variant_label,method,utility,route_rate,n
0,0.1,block3_h48_seed10,"3-block, H=48",knn_context,0.8512437810945274,0.04477611940298507,402
0,0.1,block3_h48_seed10,"3-block, H=48",rh_context,0.8507462686567164,0.024875621890547265,402
0,0.1,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8604477611940299,0.12686567164179105,402
0,0.1,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8557213930348259,0.09950248756218906,402
0,0.2,block3_h48_seed10,"3-block, H=48",cheap,0.8532338308457711,0.0,402
0,0.2,block3_h48_seed10,"3-block, H=48",full,0.6407960199004974,1.0,402
0,0.2,block3_h48_seed10,"3-block, H=48",oracle,0.9029850746268657,0.06218905472636816,402
0,0.2,block3_h48_seed10,"3-block, H=48",confidence,0.8492537313432836,0.04477611940298507,402
0,0.2,block3_h48_seed10,"3-block, H=48",context_cls,0.8502487562189055,0.06467661691542288,402
0,0.2,block3_h48_seed10,"3-block, H=48",knn_context,0.854228855721393,0.007462686567164179,402
0,0.2,block3_h48_seed10,"3-block, H=48",rh_context,0.853731343283582,0.009950248756218905,402
0,0.2,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8477611940298507,0.12686567164179105,402
0,0.2,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8477611940298506,0.05223880597014925,402
0,0.3,block3_h48_seed10,"3-block, H=48",cheap,0.8532338308457711,0.0,402
0,0.3,block3_h48_seed10,"3-block, H=48",full,0.5407960199004976,1.0,402
0,0.3,block3_h48_seed10,"3-block, H=48",oracle,0.8967661691542289,0.06218905472636816,402
0,0.3,block3_h48_seed10,"3-block, H=48",confidence,0.8532338308457711,0.0,402
0,0.3,block3_h48_seed10,"3-block, H=48",context_cls,0.845771144278607,0.04975124378109453,402
0,0.3,block3_h48_seed10,"3-block, H=48",knn_context,0.8534825870646767,0.007462686567164179,402
0,0.3,block3_h48_seed10,"3-block, H=48",rh_context,0.8517412935323383,0.004975124378109453,402
0,0.3,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8517412935323383,0.029850746268656716,402
0,0.3,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8532338308457711,0.024875621890547265,402
0,0.5,block3_h48_seed10,"3-block, H=48",cheap,0.8532338308457711,0.0,402
0,0.5,block3_h48_seed10,"3-block, H=48",full,0.3407960199004975,1.0,402
0,0.5,block3_h48_seed10,"3-block, H=48",oracle,0.8843283582089553,0.06218905472636816,402
0,0.5,block3_h48_seed10,"3-block, H=48",confidence,0.8532338308457711,0.0,402
0,0.5,block3_h48_seed10,"3-block, H=48",context_cls,0.8395522388059702,0.04228855721393035,402
0,0.5,block3_h48_seed10,"3-block, H=48",knn_context,0.8532338308457711,0.0,402
0,0.5,block3_h48_seed10,"3-block, H=48",rh_context,0.8532338308457711,0.0,402
0,0.5,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.849502487562189,0.022388059701492536,402
0,0.5,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8544776119402985,0.007462686567164179,402
0,0.02,block3_h72_seed14,"3-block, H=72",cheap,0.7312348668280871,0.0,413
0,0.02,block3_h72_seed14,"3-block, H=72",full,0.7984019370460052,1.0,413
0,0.02,block3_h72_seed14,"3-block, H=72",oracle,0.892590799031477,0.16464891041162227,413
0,0.02,block3_h72_seed14,"3-block, H=72",confidence,0.7759322033898306,0.1864406779661017,413
0,0.02,block3_h72_seed14,"3-block, H=72",context_cls,0.7699273607748185,0.1234866828087167,413
0,0.02,block3_h72_seed14,"3-block, H=72",knn_context,0.8065375302663439,0.4721549636803874,413
0,0.02,block3_h72_seed14,"3-block, H=72",rh_context,0.8018401937046007,0.4648910411622276,413
0,0.02,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.8057627118644068,0.2687651331719128,413
0,0.02,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.7963680387409202,0.2542372881355932,413
0,0.05,block3_h72_seed14,"3-block, H=72",cheap,0.7312348668280871,0.0,413
0,0.05,block3_h72_seed14,"3-block, H=72",full,0.7684019370460048,1.0,413
0,0.05,block3_h72_seed14,"3-block, H=72",oracle,0.8876513317191284,0.16464891041162227,413
0,0.05,block3_h72_seed14,"3-block, H=72",confidence,0.7703389830508474,0.1864406779661017,413
0,0.05,block3_h72_seed14,"3-block, H=72",context_cls,0.7662227602905569,0.1234866828087167,413
0,0.05,block3_h72_seed14,"3-block, H=72",knn_context,0.7796610169491526,0.3389830508474576,413
0,0.05,block3_h72_seed14,"3-block, H=72",rh_context,0.7878934624697336,0.4648910411622276,413
0,0.05,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.7976997578692494,0.2687651331719128,413
0,0.05,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.7938256658595643,0.24939467312348668,413
0,0.1,block3_h72_seed14,"3-block, H=72",cheap,0.7312348668280871,0.0,413
