lambda,heldout,variant_label,method,utility_mean,utility_std,route_rate_mean,route_rate_std,n
0.05,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.8154560129136401,0.02625900269060025,0.15577078288942695,0.08122515335211704,413
0.1,block3_h36_seed13,"3-block, H=36",cheap,0.8687856560717196,0.02497400724701637,0.0,0.0,409
0.1,block3_h36_seed13,"3-block, H=36",confidence,0.8577832110839446,0.00976261707538993,0.07742461287693561,0.07019854696870041,409
0.1,block3_h36_seed13,"3-block, H=36",context_cls,0.8669926650366748,0.015263069960893402,0.026079869600651995,0.007859536072528898,409
0.1,block3_h36_seed13,"3-block, H=36",full,0.7288508557457215,0.0,1.0,0.0,409
0.1,block3_h36_seed13,"3-block, H=36",knn_context,0.8601466992665037,0.006780158740274837,0.0945395273023635,0.06479602024547991,409
0.1,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8634881825590872,0.01195129765595657,0.09372453137734311,0.04158875573650555,409
0.1,block3_h36_seed13,"3-block, H=36",oracle,0.9025264873675631,0.029821167527570767,0.037489812550937245,0.006153084299324168,409
0.1,block3_h36_seed13,"3-block, H=36",rh_context,0.8665851670741646,0.015187159864371856,0.04645476772616137,0.05328727314841898,409
0.1,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.8683781581092095,0.014601170031987479,0.07742461287693561,0.02748119853314974,409
0.1,block3_h48_seed10,"3-block, H=48",cheap,0.867330016583748,0.01656300526984926,0.0,0.0,402
0.1,block3_h48_seed10,"3-block, H=48",confidence,0.8733830845771143,0.011833581982354513,0.05555555555555556,0.04825699677264166,402
0.1,block3_h48_seed10,"3-block, H=48",context_cls,0.8622719734660033,0.01651249202407265,0.06716417910447761,0.0043085840984300496,402
0.1,block3_h48_seed10,"3-block, H=48",full,0.7407960199004977,0.0,1.0,0.0,402
0.1,block3_h48_seed10,"3-block, H=48",knn_context,0.8586235489220564,0.00936174236331361,0.07877280265339966,0.0525537375704505,402
0.1,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8611111111111112,0.0050081820466140806,0.09535655058043117,0.02998862573801845,402
0.1,block3_h48_seed10,"3-block, H=48",oracle,0.9076285240464345,0.005760913330906051,0.04477611940298507,0.016312036130104478,402
0.1,block3_h48_seed10,"3-block, H=48",rh_context,0.8606135986733002,0.014784436854776633,0.0505804311774461,0.027513532376512533,402
0.1,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8616915422885573,0.009701492537313493,0.08955223880597014,0.01942848178086232,402
0.1,block3_h72_seed14,"3-block, H=72",cheap,0.7917675544794189,0.05935908315802068,0.0,0.0,413
0.1,block3_h72_seed14,"3-block, H=72",confidence,0.7925746569814366,0.038810722023944894,0.09685230024213075,0.036641031356952916,413
0.1,block3_h72_seed14,"3-block, H=72",context_cls,0.7953995157384988,0.040438010119707844,0.06053268765133172,0.04137532080056916,413
0.1,block3_h72_seed14,"3-block, H=72",full,0.718401937046005,0.0,1.0,0.0,413
0.1,block3_h72_seed14,"3-block, H=72",knn_context,0.7981436642453591,0.0390126166838894,0.18644067796610167,0.13277510770804063,413
0.1,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.8087167070217918,0.02961428348811686,0.11299435028248588,0.04544925980726743,413
0.1,block3_h72_seed14,"3-block, H=72",oracle,0.8847457627118644,0.01756574740640781,0.10330912025827281,0.05448390260447997,413
0.1,block3_h72_seed14,"3-block, H=72",rh_context,0.8050847457627119,0.048250893522665726,0.12510088781275222,0.16429839726029988,413
0.1,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.8103309120258274,0.03162595906948382,0.13720742534301855,0.09984285307133967,413
0.2,block3_h36_seed13,"3-block, H=36",cheap,0.8687856560717196,0.02497400724701637,0.0,0.0,409
0.2,block3_h36_seed13,"3-block, H=36",confidence,0.8547677261613692,0.003691850579594485,0.04563977180114099,0.07905040360542553,409
0.2,block3_h36_seed13,"3-block, H=36",context_cls,0.8643846780766097,0.01683553556143475,0.017929910350448247,0.001411614350096886,409
0.2,block3_h36_seed13,"3-block, H=36",full,0.6288508557457212,0.0,1.0,0.0,409
0.2,block3_h36_seed13,"3-block, H=36",knn_context,0.8630806845965769,0.014840088905128168,0.040749796251018745,0.038992253346065806,409
0.2,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.862754686226569,0.017235574209825185,0.06682966585167073,0.013902789005079035,409
0.2,block3_h36_seed13,"3-block, H=36",oracle,0.8987775061124693,0.029270496670860027,0.037489812550937245,0.006153084299324168,409
0.2,block3_h36_seed13,"3-block, H=36",rh_context,0.8634066829665853,0.012422206280852565,0.0228198859005705,0.01346594265840123,409
0.2,block3_h36_seed13,"3-block, H=36",rh_context_latent,0.863243683781581,0.014192165966448315,0.04808475957620212,0.04654047770258919,409
0.2,block3_h48_seed10,"3-block, H=48",cheap,0.867330016583748,0.01656300526984926,0.0,0.0,402
0.2,block3_h48_seed10,"3-block, H=48",confidence,0.8660033167495854,0.018322602510605503,0.014925373134328358,0.025851504590580256,402
0.2,block3_h48_seed10,"3-block, H=48",context_cls,0.8590381426202321,0.017422409173552592,0.0538971807628524,0.010053362896336768,402
0.2,block3_h48_seed10,"3-block, H=48",full,0.6407960199004974,0.0,1.0,0.0,402
0.2,block3_h48_seed10,"3-block, H=48",knn_context,0.8643449419568823,0.021062665633775856,0.03150912106135987,0.022571571457406632,402
0.2,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8608623548922055,0.016291791584755043,0.06135986733001658,0.05685227103290862,402
0.2,block3_h48_seed10,"3-block, H=48",oracle,0.9031509121061361,0.006220563626371826,0.04477611940298507,0.016312036130104478,402
0.2,block3_h48_seed10,"3-block, H=48",rh_context,0.8661691542288557,0.018205148719932365,0.03067993366500829,0.02115646902516264,402
0.2,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8610281923714759,0.016932485784960358,0.03980099502487562,0.01243781094527363,402
0.2,block3_h72_seed14,"3-block, H=72",cheap,0.7917675544794189,0.05935908315802068,0.0,0.0,413
0.2,block3_h72_seed14,"3-block, H=72",confidence,0.7882163034705408,0.054242332291673495,0.005649717514124294,0.009785597782875013,413
0.2,block3_h72_seed14,"3-block, H=72",context_cls,0.7883777239709443,0.04455995297982777,0.0573042776432607,0.042309418634644574,413
0.2,block3_h72_seed14,"3-block, H=72",full,0.6184019370460048,0.0,1.0,0.0,413
0.2,block3_h72_seed14,"3-block, H=72",knn_context,0.792090395480226,0.06135869043171113,0.1275221953188055,0.18391314210133744,413
0.2,block3_h72_seed14,"3-block, H=72",knn_context_latent,0.7961259079903148,0.04833162687813563,0.05488297013720742,0.028063500646834074,413
0.2,block3_h72_seed14,"3-block, H=72",oracle,0.8744148506860371,0.02069521615670905,0.10330912025827281,0.05448390260447997,413
0.2,block3_h72_seed14,"3-block, H=72",rh_context,0.7911218724778047,0.060929129571546226,0.06376109765940274,0.08612959852754867,413
0.2,block3_h72_seed14,"3-block, H=72",rh_context_latent,0.7928974979822438,0.05462146310667595,0.042776432606941084,0.020592979535388335,413
0.3,block3_h36_seed13,"3-block, H=36",cheap,0.8687856560717196,0.02497400724701637,0.0,0.0,409
0.3,block3_h36_seed13,"3-block, H=36",confidence,0.8656071719641402,0.01954512481723785,0.0024449877750611247,0.004234843050290654,409
0.3,block3_h36_seed13,"3-block, H=36",context_cls,0.8625916870415647,0.01669588327156878,0.017929910350448247,0.001411614350096886,409
0.3,block3_h36_seed13,"3-block, H=36",full,0.5288508557457213,0.0,1.0,0.0,409
0.3,block3_h36_seed13,"3-block, H=36",knn_context,0.8649551752241239,0.019560411566309815,0.007334963325183373,0.0088155287908655,409
0.3,block3_h36_seed13,"3-block, H=36",knn_context_latent,0.8616136919315404,0.011561457621062908,0.037489812550937245,0.039221546586849114,409
0.3,block3_h36_seed13,"3-block, H=36",oracle,0.8950285248573757,0.028722449877023142,0.037489812550937245,0.006153084299324168,409
