heldout,run,method,error,compute,selected,utility,delta_utility,threshold,calib_delta,calib_selected,inner_min_delta,inner_mean_delta,inner_median_threshold,inner_conservative_threshold
P002,cheap5_exp20,oracle upper bound,2.102863311767578,1.4902061855670103,0.1634020618556701,-2.1624715591902586,0.015816223478808844,,,,,,,
P002,cheap5_exp20,sample RF,2.1949431896209717,4.0,1.0,-2.354943189620972,-0.1766554069519044,0.3564218533039093,0.05212458679818699,0.8198005698005698,,,,
P002,cheap5_exp20,sample RF + fallback,2.1382877826690674,1.0,0.0,-2.1782877826690674,0.0,0.3564218533039093,0.05212458679818699,0.8198005698005698,,,,
P002,cheap5_exp20,trajectory-aware RF median,2.165111780166626,3.031958762886598,0.677319587628866,-2.28639013068209,-0.10810234801302254,0.5711298274993897,,,0.023306314945221063,0.044988717378004674,0.5711298274993897,0.5976779055595398
P002,cheap5_exp20,trajectory-aware RF conservative,2.155078887939453,2.543298969072165,0.5144329896907216,-2.2568108467023396,-0.07852306403327214,0.5976779055595398,,,0.023306314945221063,0.044988717378004674,0.5711298274993897,0.5976779055595398
P002,cheap5_exp20,trajectory-aware RF safe fallback,2.1382877826690674,1.0,0.0,-2.1782877826690674,0.0,0.5976779055595398,,,0.023306314945221063,0.044988717378004674,0.5711298274993897,0.5976779055595398
P003,cheap10_exp20,cheap-only,2.0899949073791504,1.0,0.0,-2.1299949073791504,0.0,,,,,,,
P003,cheap10_exp20,all-expensive,2.1037282943725586,4.0,1.0,-2.2637282943725587,-0.1337333869934083,,,,,,,
P003,cheap10_exp20,oracle upper bound,2.0532588958740234,1.488235294117647,0.1627450980392157,-2.1127883076387293,0.017206599740421158,,,,,,,
P003,cheap10_exp20,sample RF,2.0899949073791504,1.0,0.0,-2.1299949073791504,0.0,0.8942851424217224,2.7069809510615883e-05,0.0003436426116838488,,,,
P003,cheap10_exp20,sample RF + fallback,2.0899949073791504,1.0,0.0,-2.1299949073791504,0.0,0.8942851424217224,2.7069809510615883e-05,0.0003436426116838488,,,,
P003,cheap10_exp20,trajectory-aware RF median,2.0929787158966064,1.192156862745098,0.06405228758169934,-2.1406649904064103,-0.010670083027259913,0.5841037631034851,,,0.0,0.00010453080328907128,0.5841037631034851,0.6257048940658569
P003,cheap10_exp20,trajectory-aware RF conservative,2.0913877487182617,1.035294117647059,0.011764705882352941,-2.132799513424144,-0.0028046060449935517,0.6257048940658569,,,0.0,0.00010453080328907128,0.5841037631034851,0.6257048940658569
P003,cheap10_exp20,trajectory-aware RF safe fallback,2.0899949073791504,1.0,0.0,-2.1299949073791504,0.0,0.6257048940658569,,,0.0,0.00010453080328907128,0.5841037631034851,0.6257048940658569
P003,cheap5_exp20,cheap-only,2.0926852226257324,1.0,0.0,-2.1326852226257325,0.0,,,,,,,
P003,cheap5_exp20,all-expensive,2.1207563877105713,4.0,1.0,-2.2807563877105714,-0.14807116508483897,,,,,,,
P003,cheap5_exp20,oracle upper bound,2.0673019886016846,1.3450980392156864,0.11503267973856209,-2.121105910170312,0.011579312455420432,,,,,,,
P003,cheap5_exp20,sample RF,2.0926852226257324,1.0,0.0,-2.1326852226257325,0.0,0.9905186162719727,0.0,0.0,,,,
P003,cheap5_exp20,sample RF + fallback,2.0926852226257324,1.0,0.0,-2.1326852226257325,0.0,0.9905186162719727,0.0,0.0,,,,
P003,cheap5_exp20,trajectory-aware RF median,2.091416835784912,1.1764705882352942,0.058823529411764705,-2.1384756593143237,-0.0057904366885912495,0.38378550274467466,,,0.0,0.0,0.38378550274467466,0.5278274284133911
P003,cheap5_exp20,trajectory-aware RF conservative,2.0926852226257324,1.0,0.0,-2.1326852226257325,0.0,0.5278274284133911,,,0.0,0.0,0.38378550274467466,0.5278274284133911
P003,cheap5_exp20,trajectory-aware RF safe fallback,2.0926852226257324,1.0,0.0,-2.1326852226257325,0.0,0.5278274284133911,,,0.0,0.0,0.38378550274467466,0.5278274284133911
P004,cheap10_exp20,cheap-only,2.1259310245513916,1.0,0.0,-2.1659310245513916,0.0,,,,,,,
P004,cheap10_exp20,all-expensive,2.1726906299591064,4.0,1.0,-2.3326906299591066,-0.16675960540771495,,,,,,,
P004,cheap10_exp20,oracle upper bound,2.0778653621673584,1.3827298050139276,0.1275766016713092,-2.1331745543679155,0.03275647018347616,,,,,,,
P004,cheap10_exp20,sample RF,2.1259310245513916,1.0,0.0,-2.1659310245513916,0.0,0.9099483357200623,0.0,0.0,,,,
P004,cheap10_exp20,sample RF + fallback,2.1259310245513916,1.0,0.0,-2.1659310245513916,0.0,0.9099483357200623,0.0,0.0,,,,
P004,cheap10_exp20,trajectory-aware RF median,2.137584924697876,1.3442896935933146,0.11476323119777158,-2.1913565124416086,-0.025425487890216925,0.5317850576171875,,,0.0,0.0001018313653690317,0.5317850576171875,0.5761242972145081
