outer_heldout,run,inner_calib,threshold,calib_delta,calib_selected,profitable_frac
P003,cheap10_exp20,P001,0.5841037631034851,5.336943583289511e-06,0.00033500837520938025,0.2187604690117253
P003,cheap10_exp20,P002,0.6182363307476044,0.00031394531800588155,0.020103092783505156,0.3835051546391753
P003,cheap10_exp20,P004,0.5477132068405152,0.0,0.0,0.19832869080779944
P003,cheap10_exp20,P005,0.5306105017662048,1.8569050804995157e-05,0.00033898305084745765,0.15559322033898304
P003,cheap5_exp20,P000,0.38378550274467466,0.0,0.0,0.08071065989847716
P003,cheap5_exp20,P001,0.5278274284133911,0.0,0.0,0.14304857621440537
P003,cheap5_exp20,P002,0.49136091930961606,0.0,0.0,0.08969072164948454
P003,cheap5_exp20,P004,0.35986070497131345,0.0,0.0,0.06183844011142061
P003,cheap5_exp20,P005,0.33659027679061887,0.0,0.0,0.03152542372881356
P004,cheap10_exp20,P000,0.5317850576171875,0.0,0.0,0.083248730964467
P004,cheap10_exp20,P001,0.5761242972145081,0.0,0.0,0.10854271356783919
P004,cheap10_exp20,P002,0.5365250110626221,0.0005091568268451585,0.0005154639175257732,0.13762886597938145
P004,cheap10_exp20,P003,0.4612949059734344,0.0,0.0,0.10457516339869281
P004,cheap10_exp20,P005,0.4396103189716339,0.0,0.0,0.07559322033898305
P004,cheap5_exp20,P000,0.501782702041626,0.0,0.0,0.08883248730964467
P004,cheap5_exp20,P001,0.5553805099258423,0.0,0.0,0.13299832495812394
P004,cheap5_exp20,P002,0.5463234053382874,0.0,0.0,0.11134020618556702
P004,cheap5_exp20,P003,0.4634215235710144,0.00015021204480936134,0.00065359477124183,0.08104575163398693
P004,cheap5_exp20,P005,0.4392539428005218,0.0,0.0,0.0640677966101695
P005,cheap10_exp20,P000,0.6843783849477768,0.005072068533921614,0.0700507614213198,0.44416243654822335
P005,cheap10_exp20,P001,0.6049284338951111,0.009234964461781958,0.3001675041876047,0.4271356783919598
P005,cheap10_exp20,P002,0.5028122812509537,0.04449311452059401,0.4902061855670103,0.5190721649484537
P005,cheap10_exp20,P003,0.6579938387870788,0.008824309779148498,0.23986928104575164,0.5581699346405229
P005,cheap10_exp20,P004,0.7733117938041687,0.00011625310106211373,0.0005571030640668524,0.46852367688022284
P005,cheap5_exp20,P000,0.30945722699165346,0.10312887000553506,0.9898477157360406,0.7736040609137056
P005,cheap5_exp20,P001,0.4062735438346863,0.12563539028167736,1.0,0.7477386934673367
P005,cheap5_exp20,P002,0.16738344728946686,0.1230398464202882,1.0,0.7304123711340206
P005,cheap5_exp20,P003,0.47830252528190614,0.09951602466433651,0.9895424836601308,0.6947712418300653
P005,cheap5_exp20,P004,0.4070037007331848,0.13181472301483166,1.0,0.7582172701949861
