lambda,heldout,variant_label,method,utility_mean,utility_std,top1_mean,top1_std,latency_mean,latency_std,select_Tiny_mean,select_Small_mean,select_Medium_mean,select_Full_mean,n
0.02,block3_h48_seed10,"3-block, H=48",fixed_Tiny,0.8495075829601241,0.019744412769138797,0.8532338308457712,0.019744412769138735,0.18631239428236002,0.0,1.0,0.0,0.0,0.0,402
0.02,block3_h48_seed10,"3-block, H=48",logreg_oracle_label,0.8942658333857002,0.0038789561547500394,0.8988391376451078,0.003799814009084433,0.2286652129703816,0.006067336376664722,0.7454394693200662,0.12935323383084577,0.09950248756218905,0.025704809286898837,402
0.02,block3_h48_seed10,"3-block, H=48",oracle_multicapacity,0.9453343612043179,0.0029256221557591006,0.9494195688225538,0.002872389398953405,0.2042603809118033,0.0031794963057557176,0.9038142620232174,0.05306799336650083,0.029021558872305144,0.014096185737976783,402
0.02,block3_h48_seed10,"3-block, H=48",rf_expected_utility,0.8978521747527997,0.007533854840110013,0.9029850746268657,0.007462686567164173,0.2566449937033073,0.010802905876828172,0.7288557213930348,0.08623548922056384,0.1318407960199005,0.05306799336650083,402
0.02,block3_h48_seed10,"3-block, H=48",rf_oracle_label,0.8887167395476863,0.004225799962309882,0.8930348258706468,0.00430858409843004,0.21590431614802652,0.004402329378018009,0.7081260364842454,0.16666666666666666,0.12106135986733002,0.004145936981757877,402
0.02,block3_h48_seed10,"3-block, H=48",ridge_expected_utility,0.9066224805250704,0.015099285592370339,0.9112769485903814,0.014994312869009185,0.23272340326554808,0.005834993211459142,0.74212271973466,0.023217247097844115,0.23466003316749584,0.0,402
0.02,block3_h72_seed14,"3-block, H=72",fixed_Full,0.7879096045197743,0.010918280273178899,0.8079096045197739,0.01091828027317895,1.0,0.0,0.0,0.0,0.0,1.0,413
0.02,block3_h72_seed14,"3-block, H=72",fixed_Medium,0.8212415274008343,0.01612185985103965,0.8288942695722357,0.016121859851039744,0.3826371085700641,0.0,0.0,0.0,1.0,0.0,413
0.02,block3_h72_seed14,"3-block, H=72",fixed_Small,0.7877471761006968,0.05935908315802057,0.7917675544794189,0.05935908315802068,0.2010189189360956,0.0,0.0,1.0,0.0,0.0,413
0.02,block3_h72_seed14,"3-block, H=72",fixed_Tiny,0.8057975616381623,0.031969818111926306,0.8095238095238094,0.031969818111926306,0.18631239428236002,0.0,1.0,0.0,0.0,0.0,413
0.02,block3_h72_seed14,"3-block, H=72",logreg_oracle_label,0.797711200305247,0.01211301825254613,0.8119451170298628,0.012425185083406471,0.7116958362307958,0.01580249553381544,0.354317998385795,0.0,0.0,0.645682001614205,413
0.02,block3_h72_seed14,"3-block, H=72",oracle_multicapacity,0.931290364220747,0.005528104804565566,0.9354317998385794,0.005591770161642898,0.2070717808916266,0.0043344877117962735,0.87409200968523,0.06295399515738499,0.05084745762711864,0.012106537530266345,413
0.02,block3_h72_seed14,"3-block, H=72",rf_expected_utility,0.83230029054846,0.010232118516505715,0.8385794995964487,0.009785597782875001,0.3139604523994353,0.022768893129046376,0.606133979015335,0.08232445520581115,0.20581113801452786,0.10573042776432606,413
0.02,block3_h72_seed14,"3-block, H=72",rf_oracle_label,0.8144693858885876,0.021496319358069102,0.8208232445520581,0.021521051857906984,0.31769293317352,0.009834028742510778,0.6311541565778853,0.13075060532687652,0.10411622276029055,0.13397901533494752,413
0.02,block3_h72_seed14,"3-block, H=72",ridge_expected_utility,0.8159492383954059,0.01955275974939821,0.8288942695722357,0.018807393378096886,0.6472515588414913,0.04402304494161851,0.01775625504439064,0.02179176755447942,0.519774011299435,0.4406779661016949,413
0.05,block3_h36_seed13,"3-block, H=36",fixed_Full,0.8049307253463732,0.023747028988318573,0.8549307253463733,0.023747028988318594,1.0,0.0,0.0,0.0,0.0,1.0,409
0.05,block3_h36_seed13,"3-block, H=36",fixed_Medium,0.859433751743461,0.013902789005079057,0.8785656071719642,0.013902789005078985,0.3826371085700641,0.0,0.0,0.0,1.0,0.0,409
0.05,block3_h36_seed13,"3-block, H=36",fixed_Small,0.8587347101249149,0.024974007247016476,0.8687856560717196,0.02497400724701637,0.2010189189360956,0.0,0.0,1.0,0.0,0.0,409
0.05,block3_h36_seed13,"3-block, H=36",fixed_Tiny,0.866804999682785,0.02107989756540762,0.876120619396903,0.021079897565407606,0.18631239428236,0.0,1.0,0.0,0.0,0.0,409
0.05,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,0.8754573050650705,0.0038799957336694397,0.8924205378973106,0.004234843050290633,0.33926465664480226,0.018404602538317754,0.7432762836185819,0.05867970660146699,0.014669926650366748,0.18337408312958436,409
0.05,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9372904449135341,0.014074212176648022,0.9470252648736756,0.013902789005079004,0.19469639920283074,0.0045367132528470935,0.9290953545232273,0.04156479217603912,0.026079869600651995,0.0032599837000814994,409
0.05,block3_h36_seed13,"3-block, H=36",rf_expected_utility,0.8763115976872108,0.004069943126230432,0.889160554197229,0.0037347805174864183,0.25697913020036484,0.006839794276909071,0.6854115729421353,0.08394458027709861,0.19152404237978807,0.039119804400977995,409
0.05,block3_h36_seed13,"3-block, H=36",rf_oracle_label,0.8634214174729947,0.015067571469953881,0.8785656071719642,0.014737686487387953,0.3028837939793902,0.03251441839821708,0.7074164629176855,0.11491442542787285,0.04808475957620212,0.1295843520782396,409
0.05,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,0.8783972210964598,0.0012689368550546838,0.8907905460472697,0.001411614350096859,0.24786649901620228,0.0030996630676561705,0.35126324368378153,0.365118174409128,0.28280358598207006,0.0008149959250203749,409
0.05,block3_h48_seed10,"3-block, H=48",fixed_Full,0.8223051409618574,0.029988625738018512,0.8723051409618573,0.029988625738018512,1.0,0.0,0.0,0.0,0.0,1.0,402
