lambda,heldout,variant_label,ladder_seed,utility,top1,relative_latency,select_Tiny,select_Small,select_Medium,select_Full,n,method
0.05,block3_h36_seed13,"3-block, H=36",0,0.7788508557457212,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.05,block3_h36_seed13,"3-block, H=36",0,0.9489618300916073,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,409,oracle_multicapacity
0.05,block3_h36_seed13,"3-block, H=36",0,0.8776079818713614,0.8899755501222494,0.24735136501776409,0.35207823960880197,0.3643031784841076,0.28361858190709044,0.0,409,ridge_expected_utility
0.05,block3_h36_seed13,"3-block, H=36",0,0.8798099428626505,0.8924205378973105,0.2522119006932015,0.6674816625916871,0.08801955990220049,0.2176039119804401,0.02689486552567237,409,rf_expected_utility
0.05,block3_h36_seed13,"3-block, H=36",0,0.871075355538881,0.8875305623471883,0.3291041361661471,0.7579462102689487,0.0488997555012225,0.02444987775061125,0.1687041564792176,409,logreg_oracle_label
0.05,block3_h36_seed13,"3-block, H=36",0,0.8785833216201396,0.8924205378973105,0.2767443255434192,0.7017114914425427,0.13202933985330073,0.07579462102689487,0.09046454767726161,409,rf_oracle_label
0.05,block3_h36_seed13,"3-block, H=36",1,0.8439851137822144,0.8533007334963325,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.05,block3_h36_seed13,"3-block, H=36",1,0.8408047997744665,0.8508557457212714,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.05,block3_h36_seed13,"3-block, H=36",1,0.8708436946937463,0.8899755501222494,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.05,block3_h36_seed13,"3-block, H=36",1,0.8253056234718825,0.8753056234718827,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.05,block3_h36_seed13,"3-block, H=36",1,0.9216610030724441,0.9315403422982885,0.19758678451689035,0.921760391198044,0.039119804400977995,0.034229828850855744,0.004889975550122249,409,oracle_multicapacity
0.05,block3_h36_seed13,"3-block, H=36",1,0.8798609650358721,0.8924205378973105,0.2511914572287705,0.33251833740831294,0.3643031784841076,0.30317848410757947,0.0,409,ridge_expected_utility
0.05,block3_h36_seed13,"3-block, H=36",1,0.8718447748596958,0.8850855745721271,0.26481599424862956,0.6919315403422983,0.05867970660146699,0.20293398533007334,0.04645476772616137,409,rf_expected_utility
0.05,block3_h36_seed13,"3-block, H=36",1,0.8768400375032781,0.8948655256723717,0.3605097633818722,0.7114914425427873,0.07579462102689487,0.0,0.21271393643031786,409,logreg_oracle_label
0.05,block3_h36_seed13,"3-block, H=36",1,0.8632309462347103,0.8801955990220048,0.33929305574589247,0.687041564792176,0.10268948655256724,0.03178484107579462,0.1784841075794621,409,rf_oracle_label
0.05,block3_h36_seed13,"3-block, H=36",2,0.8708799793078869,0.8801955990220048,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.05,block3_h36_seed13,"3-block, H=36",2,0.8481397630996499,0.8581907090464548,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.05,block3_h36_seed13,"3-block, H=36",2,0.863508731368563,0.882640586797066,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.05,block3_h36_seed13,"3-block, H=36",2,0.8106356968215158,0.8606356968215159,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.05,block3_h36_seed13,"3-block, H=36",2,0.9412485015765512,0.9511002444987775,0.19703485844453048,0.9290953545232273,0.034229828850855744,0.03178484107579462,0.004889975550122249,409,oracle_multicapacity
0.05,block3_h36_seed13,"3-block, H=36",2,0.8777227163821457,0.8899755501222494,0.24505667480207224,0.3691931540342298,0.36674816625916873,0.2616136919315403,0.0024449877750611247,409,ridge_expected_utility
0.05,block3_h36_seed13,"3-block, H=36",2,0.8772800753392863,0.8899755501222494,0.2539094956592634,0.6968215158924206,0.10513447432762836,0.15403422982885084,0.044009779951100246,409,rf_expected_utility
0.05,block3_h36_seed13,"3-block, H=36",2,0.8784565221530524,0.8948655256723717,0.3281800703863874,0.7603911980440098,0.05134474327628362,0.019559902200488997,0.1687041564792176,409,logreg_oracle_label
0.05,block3_h36_seed13,"3-block, H=36",2,0.8484499845641342,0.863080684596577,0.29261400064885884,0.7334963325183375,0.1100244498777506,0.03667481662591687,0.1198044009779951,409,rf_oracle_label
0.1,block3_h36_seed13,"3-block, H=36",0,0.8762342862441355,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.1,block3_h36_seed13,"3-block, H=36",0,0.8772086215538231,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.1,block3_h36_seed13,"3-block, H=36",0,0.8248169737395707,0.863080684596577,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.1,block3_h36_seed13,"3-block, H=36",0,0.7288508557457215,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.1,block3_h36_seed13,"3-block, H=36",0,0.9394884523592535,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,409,oracle_multicapacity
0.1,block3_h36_seed13,"3-block, H=36",0,0.8709872184634732,0.8948655256723717,0.23878307208898364,0.39119804400978,0.3691931540342298,0.2396088019559902,0.0,409,ridge_expected_utility
0.1,block3_h36_seed13,"3-block, H=36",0,0.8733417854618667,0.8973105134474327,0.23968727985565932,0.6919315403422983,0.08068459657701711,0.21515892420537897,0.012224938875305624,409,rf_expected_utility
0.1,block3_h36_seed13,"3-block, H=36",0,0.8546201487305733,0.8875305623471883,0.3291041361661471,0.7579462102689487,0.0488997555012225,0.02444987775061125,0.1687041564792176,409,logreg_oracle_label
0.1,block3_h36_seed13,"3-block, H=36",0,0.8647461053429685,0.8924205378973105,0.2767443255434192,0.7017114914425427,0.13202933985330073,0.07579462102689487,0.09046454767726161,409,rf_oracle_label
0.1,block3_h36_seed13,"3-block, H=36",1,0.8346694940680963,0.8533007334963325,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
0.1,block3_h36_seed13,"3-block, H=36",1,0.8307538538276616,0.8508557457212714,0.2010189189360956,0.0,1.0,0.0,0.0,409,fixed_Small
0.1,block3_h36_seed13,"3-block, H=36",1,0.8517118392652431,0.8899755501222494,0.38263710857006406,0.0,0.0,1.0,0.0,409,fixed_Medium
0.1,block3_h36_seed13,"3-block, H=36",1,0.7753056234718829,0.8753056234718827,1.0,0.0,0.0,0.0,1.0,409,fixed_Full
0.1,block3_h36_seed13,"3-block, H=36",1,0.9117816638465992,0.9315403422982885,0.19758678451689035,0.921760391198044,0.039119804400977995,0.034229828850855744,0.004889975550122249,409,oracle_multicapacity
0.1,block3_h36_seed13,"3-block, H=36",1,0.8675893990902588,0.8924205378973105,0.2483113880705157,0.3471882640586797,0.3643031784841076,0.2885085574572127,0.0,409,ridge_expected_utility
0.1,block3_h36_seed13,"3-block, H=36",1,0.8575480110189926,0.882640586797066,0.25092575778073284,0.706601466992665,0.061124694376528114,0.20293398533007334,0.029339853300733496,409,rf_expected_utility
0.1,block3_h36_seed13,"3-block, H=36",1,0.8588145493341843,0.8948655256723717,0.3605097633818722,0.7114914425427873,0.07579462102689487,0.0,0.21271393643031786,409,logreg_oracle_label
0.1,block3_h36_seed13,"3-block, H=36",1,0.8462662934474153,0.8801955990220048,0.33929305574589247,0.687041564792176,0.10268948655256724,0.03178484107579462,0.1784841075794621,409,rf_oracle_label
0.1,block3_h36_seed13,"3-block, H=36",2,0.8615643595937688,0.8801955990220048,0.18631239428236,1.0,0.0,0.0,0.0,409,fixed_Tiny
