lambda,variant,variant_label,method,utility,top1,relative_latency,select_Tiny,select_Small,select_Medium,select_Full,n
0.05,block2_h72_seed11,"2-block, H=72",fixed_Small,0.9190355925147335,0.9290865384615384,0.2010189189360956,0.0,1.0,0.0,0.0,416
0.05,block2_h72_seed11,"2-block, H=72",fixed_Medium,0.9363969907253431,0.9555288461538461,0.382637108570064,0.0,0.0,1.0,0.0,416
0.05,block2_h72_seed11,"2-block, H=72",fixed_Full,0.9247596153846153,0.9747596153846154,1.0,0.0,0.0,0.0,1.0,416
0.05,block2_h72_seed11,"2-block, H=72",oracle_multicapacity,0.9745649593840444,0.984375,0.19620081231911496,0.96875,0.01201923076923077,0.009615384615384616,0.009615384615384616,416
0.05,block2_v18_seed12,"2-block, V=1.8",fixed_Tiny,0.9856082381539024,0.9949238578680203,0.18631239428236,1.0,0.0,0.0,0.0,394
0.05,block2_v18_seed12,"2-block, V=1.8",fixed_Small,0.977258698723246,0.9873096446700508,0.2010189189360956,0.0,1.0,0.0,0.0,394
0.05,block2_v18_seed12,"2-block, V=1.8",fixed_Medium,0.9605635760435781,0.9796954314720813,0.382637108570064,0.0,0.0,1.0,0.0,394
0.05,block2_v18_seed12,"2-block, V=1.8",fixed_Full,0.9449238578680201,0.9949238578680203,1.0,0.0,0.0,0.0,1.0,394
0.05,block2_v18_seed12,"2-block, V=1.8",oracle_multicapacity,0.9906575996718032,1.0,0.18684800656393724,0.9949238578680203,0.0025380710659898475,0.0025380710659898475,0.0,394
0.05,block3_h36_seed13,"3-block, H=36",fixed_Tiny,0.8855499059582536,0.8948655256723717,0.18631239428236,1.0,0.0,0.0,0.0,409
0.05,block3_h36_seed13,"3-block, H=36",fixed_Small,0.887259567500628,0.8973105134474327,0.2010189189360956,0.0,1.0,0.0,0.0,409
0.05,block3_h36_seed13,"3-block, H=36",fixed_Medium,0.843948829168074,0.863080684596577,0.382637108570064,0.0,0.0,1.0,0.0,409
0.05,block3_h36_seed13,"3-block, H=36",fixed_Full,0.7788508557457212,0.8288508557457213,1.0,0.0,0.0,0.0,1.0,409
0.05,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9489618300916073,0.9584352078239609,0.18946755464707138,0.9364303178484108,0.05134474327628362,0.012224938875305624,0.0,409
0.05,block3_h48_seed10,"3-block, H=48",fixed_Tiny,0.8588435842659816,0.8681592039800995,0.18631239428236,1.0,0.0,0.0,0.0,402
0.05,block3_h48_seed10,"3-block, H=48",fixed_Small,0.8431828848989663,0.8532338308457711,0.2010189189360956,0.0,1.0,0.0,0.0,402
0.05,block3_h48_seed10,"3-block, H=48",fixed_Medium,0.8639527216859249,0.8830845771144279,0.382637108570064,0.0,0.0,1.0,0.0,402
0.05,block3_h48_seed10,"3-block, H=48",fixed_Full,0.7907960199004974,0.8407960199004975,1.0,0.0,0.0,0.0,1.0,402
