lambda,variant,variant_label,capacity_label,top1_mean,top1_std,utility_mean,utility_std,relative_latency,latency_ms_b128,n
0.1,block2_v18_seed12,"2-block, V=1.8",Medium,0.9839256666666666,0.005283668643408022,0.9456619558096602,0.005283668643407991,0.382637108570064,1.3176873326301577,3
0.1,block2_v18_seed12,"2-block, V=1.8",Small,0.9864636666666667,0.006387689749301663,0.9663617747730572,0.006387689749301663,0.2010189189360956,0.692248810082674,3
0.1,block2_v18_seed12,"2-block, V=1.8",Tiny,0.993232,0.007753718075865301,0.974600760571764,0.007753718075865301,0.18631239428236,0.6416039541363716,3
0.1,block3_h36_seed13,"3-block, H=36",Full,0.854931,0.023747147723463584,0.754931,0.02374714772346352,1.0,3.443699795752764,3
0.1,block3_h36_seed13,"3-block, H=36",Medium,0.8785660000000001,0.01390285851902403,0.8403022891429935,0.013902858519024104,0.382637108570064,1.3176873326301577,3
0.1,block3_h36_seed13,"3-block, H=36",Small,0.8687860000000001,0.024974132117052673,0.8486841081063904,0.024974132117052673,0.2010189189360956,0.692248810082674,3
0.1,block3_h36_seed13,"3-block, H=36",Tiny,0.876121,0.02108000296489546,0.857489760571764,0.02108000296489546,0.18631239428236,0.6416039541363716,3
0.1,block3_h48_seed10,"3-block, H=48",Full,0.8723053333333333,0.029988871424802506,0.7723053333333333,0.02998887142480244,1.0,3.443699795752764,3
0.1,block3_h48_seed10,"3-block, H=48",Medium,0.883914,0.0014358701194746091,0.8456502891429936,0.0014358701194746172,0.382637108570064,1.3176873326301577,3
0.1,block3_h48_seed10,"3-block, H=48",Small,0.8673299999999999,0.016562866539340346,0.8472281081063905,0.016562866539340346,0.2010189189360956,0.692248810082674,3
0.1,block3_h48_seed10,"3-block, H=48",Tiny,0.853234,0.01974429712600582,0.8346027605717641,0.01974429712600582,0.18631239428236,0.6416039541363716,3
0.1,block3_h72_seed14,"3-block, H=72",Full,0.8079096666666666,0.010918409056878763,0.7079096666666667,0.010918409056878763,1.0,3.443699795752764,3
0.1,block3_h72_seed14,"3-block, H=72",Medium,0.8288943333333334,0.01612188997398675,0.790630622476327,0.016121889973986656,0.382637108570064,1.3176873326301577,3
0.1,block3_h72_seed14,"3-block, H=72",Small,0.7917676666666668,0.05935905007101564,0.7716657747730572,0.05935905007101564,0.2010189189360956,0.692248810082674,3
0.1,block3_h72_seed14,"3-block, H=72",Tiny,0.8095236666666666,0.03196989825340913,0.7908924272384307,0.03196989825340913,0.18631239428236,0.6416039541363716,3
0.15,block2_h72_seed11,"2-block, H=72",Full,0.9739583333333334,0.006049470417593055,0.8239583333333332,0.006049470417593055,1.0,3.443699795752764,3
0.15,block2_h72_seed11,"2-block, H=72",Medium,0.9667469999999999,0.010008089677855617,0.9093514337144905,0.010008089677855617,0.382637108570064,1.3176873326301577,3
0.15,block2_h72_seed11,"2-block, H=72",Small,0.9595356666666666,0.026369318844697804,0.9293828288262523,0.026369318844697804,0.2010189189360956,0.692248810082674,3
0.15,block2_h72_seed11,"2-block, H=72",Tiny,0.9579326666666667,0.008327122932521967,0.9299858075243127,0.008327122932521967,0.18631239428236,0.6416039541363716,3
0.15,block2_v18_seed12,"2-block, V=1.8",Full,0.9923860000000001,0.0025380000000000402,0.842386,0.0025380000000000402,1.0,3.443699795752764,3
0.15,block2_v18_seed12,"2-block, V=1.8",Medium,0.9839256666666666,0.005283668643408022,0.9265301003811571,0.005283668643407991,0.382637108570064,1.3176873326301577,3
0.15,block2_v18_seed12,"2-block, V=1.8",Small,0.9864636666666667,0.006387689749301663,0.9563108288262523,0.006387689749301663,0.2010189189360956,0.692248810082674,3
0.15,block2_v18_seed12,"2-block, V=1.8",Tiny,0.993232,0.007753718075865301,0.965285140857646,0.007753718075865301,0.18631239428236,0.6416039541363716,3
0.15,block3_h36_seed13,"3-block, H=36",Full,0.854931,0.023747147723463584,0.7049309999999999,0.02374714772346352,1.0,3.443699795752764,3
0.15,block3_h36_seed13,"3-block, H=36",Medium,0.8785660000000001,0.01390285851902403,0.8211704337144905,0.013902858519024104,0.382637108570064,1.3176873326301577,3
0.15,block3_h36_seed13,"3-block, H=36",Small,0.8687860000000001,0.024974132117052673,0.8386331621595856,0.024974132117052673,0.2010189189360956,0.692248810082674,3
0.15,block3_h36_seed13,"3-block, H=36",Tiny,0.876121,0.02108000296489546,0.8481741408576461,0.02108000296489546,0.18631239428236,0.6416039541363716,3
0.15,block3_h48_seed10,"3-block, H=48",Full,0.8723053333333333,0.029988871424802506,0.7223053333333334,0.02998887142480244,1.0,3.443699795752764,3
0.15,block3_h48_seed10,"3-block, H=48",Medium,0.883914,0.0014358701194746091,0.8265184337144905,0.0014358701194746172,0.382637108570064,1.3176873326301577,3
0.15,block3_h48_seed10,"3-block, H=48",Small,0.8673299999999999,0.016562866539340346,0.8371771621595857,0.016562866539340346,0.2010189189360956,0.692248810082674,3
0.15,block3_h48_seed10,"3-block, H=48",Tiny,0.853234,0.01974429712600582,0.825287140857646,0.01974429712600582,0.18631239428236,0.6416039541363716,3
0.15,block3_h72_seed14,"3-block, H=72",Full,0.8079096666666666,0.010918409056878763,0.6579096666666667,0.010918409056878763,1.0,3.443699795752764,3
0.15,block3_h72_seed14,"3-block, H=72",Medium,0.8288943333333334,0.01612188997398675,0.7714987670478237,0.016121889973986656,0.382637108570064,1.3176873326301577,3
0.15,block3_h72_seed14,"3-block, H=72",Small,0.7917676666666668,0.05935905007101564,0.7616148288262523,0.05935905007101564,0.2010189189360956,0.692248810082674,3
0.15,block3_h72_seed14,"3-block, H=72",Tiny,0.8095236666666666,0.03196989825340913,0.7815768075243127,0.03196989825340913,0.18631239428236,0.6416039541363716,3
0.2,block2_h72_seed11,"2-block, H=72",Full,0.9739583333333334,0.006049470417593055,0.7739583333333332,0.006049470417593055,1.0,3.443699795752764,3
