lambda,heldout,variant_label,method,utility,ci95_low,ci95_high,route_rate,n
0.3,block3_h48_seed10,"3-block, H=48",full,0.5407960199004976,0.5059701492537314,0.5756218905472638,1.0,402
0.3,block3_h48_seed10,"3-block, H=48",confidence,0.8532338308457711,0.818407960199005,0.8855721393034826,0.0,402
0.3,block3_h48_seed10,"3-block, H=48",context_cls,0.845771144278607,0.8111940298507463,0.881592039800995,0.04975124378109453,402
0.3,block3_h48_seed10,"3-block, H=48",knn_context,0.8534825870646767,0.8181529850746269,0.8865733830845771,0.007462686567164179,402
0.3,block3_h48_seed10,"3-block, H=48",rh_context,0.8517412935323383,0.8169154228855721,0.8865671641791044,0.004975124378109453,402
0.3,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.8517412935323383,0.8171641791044776,0.8853296019900497,0.029850746268656716,402
0.3,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8532338308457711,0.817910447761194,0.8888059701492538,0.024875621890547265,402
0.3,block3_h48_seed10,"3-block, H=48",oracle,0.8967661691542289,0.8686567164179104,0.923134328358209,0.06218905472636816,402
0.3,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-knn_context,-0.0017412935323383094,-0.01293532338308458,0.008955223880597014,,402
0.3,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-rh_context,0.001492537313432835,-0.007711442786069652,0.012935323383084578,,402
0.3,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-confidence,-0.0014925373134328365,-0.011691542288557217,0.009203980099502487,,402
0.3,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-confidence,-5.523497634951027e-19,-0.00646766169154229,0.007462686567164178,,402
0.3,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-context_cls,0.005970149253731344,-0.008457711442786068,0.020895522388059702,,402
0.3,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-context_cls,0.007462686567164179,-0.004228855721393034,0.020895522388059702,,402
0.3,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-cheap,-0.0014925373134328365,-0.01218905472636816,0.008457711442786068,,402
0.3,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-cheap,-5.523497634951027e-19,-0.006716417910447762,0.007462686567164179,,402
0.5,block3_h48_seed10,"3-block, H=48",cheap,0.8532338308457711,0.818407960199005,0.8855721393034826,0.0,402
0.5,block3_h48_seed10,"3-block, H=48",full,0.3407960199004975,0.3034825870646766,0.3781094527363184,1.0,402
0.5,block3_h48_seed10,"3-block, H=48",confidence,0.8532338308457711,0.8159203980099502,0.8880597014925373,0.0,402
0.5,block3_h48_seed10,"3-block, H=48",context_cls,0.8395522388059702,0.8034514925373134,0.8756218905472637,0.04228855721393035,402
0.5,block3_h48_seed10,"3-block, H=48",knn_context,0.8532338308457711,0.8159203980099502,0.8855721393034826,0.0,402
0.5,block3_h48_seed10,"3-block, H=48",rh_context,0.8532338308457711,0.818407960199005,0.8880597014925373,0.0,402
0.5,block3_h48_seed10,"3-block, H=48",knn_context_latent,0.849502487562189,0.8134328358208955,0.8830845771144279,0.022388059701492536,402
0.5,block3_h48_seed10,"3-block, H=48",rh_context_latent,0.8544776119402985,0.8208955223880597,0.8855721393034826,0.007462686567164179,402
0.5,block3_h48_seed10,"3-block, H=48",oracle,0.8843283582089553,0.8557213930348259,0.9129353233830846,0.06218905472636816,402
0.5,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-knn_context,-0.0037313432835820895,-0.014925373134328358,0.004975124378109453,,402
0.5,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-rh_context,0.0012437810945273632,-0.0024875621890547263,0.006218905472636816,,402
0.5,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-confidence,-0.0037313432835820895,-0.014925373134328358,0.004975124378109453,,402
0.5,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-confidence,0.0012437810945273632,-0.0024875621890547263,0.004975124378109453,,402
0.5,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-context_cls,0.009950248756218905,-0.004975124378109453,0.026119402985074626,,402
0.5,block3_h48_seed10,"3-block, H=48",DELTA:rh_context_latent-context_cls,0.014925373134328358,0.003700248756218916,0.029850746268656716,,402
0.5,block3_h48_seed10,"3-block, H=48",DELTA:knn_context_latent-cheap,-0.0037313432835820895,-0.014925373134328358,0.004975124378109453,,402
