lambda,heldout,variant_label,utility,top1,relative_latency,select_Tiny,select_Small,select_Medium,select_Full,method
0.01,block3_h48_seed10,"3-block, H=48",0.8662960800372758,0.8681592039800995,0.18631239428236002,1.0,0.0,0.0,0.0,fixed_Tiny
0.01,block3_h48_seed10,"3-block, H=48",0.85122364165641,0.8532338308457711,0.20101891893609564,0.0,1.0,0.0,0.0,fixed_Small
0.01,block3_h48_seed10,"3-block, H=48",0.8792582060287273,0.8830845771144279,0.382637108570064,0.0,0.0,1.0,0.0,fixed_Medium
0.01,block3_h48_seed10,"3-block, H=48",0.8307960199004976,0.8407960199004975,1.0,0.0,0.0,0.0,1.0,fixed_Full
0.01,block3_h48_seed10,"3-block, H=48",0.9507243269451068,0.9527363184079602,0.20119914628533558,0.9154228855721394,0.03482587064676617,0.04228855721393035,0.007462686567164179,oracle_multicapacity
0.01,block3_h48_seed10,"3-block, H=48",0.9128815575961979,0.9154228855721394,0.2541327975941257,0.6766169154228856,0.0945273631840796,0.19402985074626866,0.03482587064676617,ridge_expected_utility
0.01,block3_h48_seed10,"3-block, H=48",0.8833506260654014,0.8855721393034826,0.22215132380810707,0.7562189054726368,0.15920398009950248,0.05721393034825871,0.02736318407960199,rf_expected_utility
0.01,block3_h48_seed10,"3-block, H=48",0.876182638206351,0.8781094527363185,0.19268145299673153,0.7512437810945274,0.23383084577114427,0.014925373134328358,0.0,logreg_oracle_label
0.01,block3_h48_seed10,"3-block, H=48",0.878643118683041,0.8805970149253731,0.19538962423320708,0.763681592039801,0.21393034825870647,0.01990049751243781,0.0024875621890547263,rf_oracle_label
0.02,block3_h48_seed10,"3-block, H=48",0.8644329560944524,0.8681592039800995,0.18631239428236002,1.0,0.0,0.0,0.0,fixed_Tiny
0.02,block3_h48_seed10,"3-block, H=48",0.8492134524670489,0.8532338308457711,0.20101891893609564,0.0,1.0,0.0,0.0,fixed_Small
0.02,block3_h48_seed10,"3-block, H=48",0.8754318349430266,0.8830845771144279,0.382637108570064,0.0,0.0,1.0,0.0,fixed_Medium
0.02,block3_h48_seed10,"3-block, H=48",0.8207960199004976,0.8407960199004975,1.0,0.0,0.0,0.0,1.0,fixed_Full
0.02,block3_h48_seed10,"3-block, H=48",0.9487123354822535,0.9527363184079602,0.20119914628533558,0.9154228855721394,0.03482587064676617,0.04228855721393035,0.007462686567164179,oracle_multicapacity
0.02,block3_h48_seed10,"3-block, H=48",0.910469247926599,0.9154228855721394,0.24768188227701277,0.6791044776119403,0.10199004975124377,0.19154228855721392,0.02736318407960199,ridge_expected_utility
0.02,block3_h48_seed10,"3-block, H=48",0.8811396118939343,0.8855721393034826,0.22162637047740696,0.7611940298507462,0.15671641791044777,0.05472636815920398,0.02736318407960199,rf_expected_utility
0.02,block3_h48_seed10,"3-block, H=48",0.8742558236763838,0.8781094527363185,0.19268145299673153,0.7512437810945274,0.23383084577114427,0.014925373134328358,0.0,logreg_oracle_label
0.02,block3_h48_seed10,"3-block, H=48",0.8766892224407089,0.8805970149253731,0.19538962423320708,0.763681592039801,0.21393034825870647,0.01990049751243781,0.0024875621890547263,rf_oracle_label
0.05,block3_h48_seed10,"3-block, H=48",0.8588435842659816,0.8681592039800995,0.18631239428236002,1.0,0.0,0.0,0.0,fixed_Tiny
0.05,block3_h48_seed10,"3-block, H=48",0.8431828848989663,0.8532338308457711,0.20101891893609564,0.0,1.0,0.0,0.0,fixed_Small
0.05,block3_h48_seed10,"3-block, H=48",0.8639527216859249,0.8830845771144279,0.382637108570064,0.0,0.0,1.0,0.0,fixed_Medium
0.05,block3_h48_seed10,"3-block, H=48",0.7907960199004974,0.8407960199004975,1.0,0.0,0.0,0.0,1.0,fixed_Full
0.05,block3_h48_seed10,"3-block, H=48",0.9426763610936936,0.9527363184079602,0.20119914628533558,0.9154228855721394,0.03482587064676617,0.04228855721393035,0.007462686567164179,oracle_multicapacity
0.05,block3_h48_seed10,"3-block, H=48",0.9063478621658676,0.917910447761194,0.23125171190653024,0.7089552238805971,0.10945273631840796,0.1691542288557214,0.012437810945273632,ridge_expected_utility
0.05,block3_h48_seed10,"3-block, H=48",0.8748451017212021,0.8855721393034826,0.21454075164561076,0.7761194029850746,0.15422885572139303,0.04975124378109453,0.01990049751243781,rf_expected_utility
0.05,block3_h48_seed10,"3-block, H=48",0.868475380086482,0.8781094527363185,0.19268145299673153,0.7512437810945274,0.23383084577114427,0.014925373134328358,0.0,logreg_oracle_label
0.05,block3_h48_seed10,"3-block, H=48",0.8708275337137128,0.8805970149253731,0.19538962423320708,0.763681592039801,0.21393034825870647,0.01990049751243781,0.0024875621890547263,rf_oracle_label
