variant,variant_label,lambda,feature,std,corr_gain,corr_route,auc_route,mean_route1,mean_route0,n,route_rate
id_block2_h36_seed0,"ID 2-block, H=36",0.05,npz_same_action_neg_frac,0.0,,,0.5,0.4,0.39999999999999997,819,0.001221001221001221
id_block2_h36_seed0,"ID 2-block, H=36",0.05,action_1_x_blocked,0.0,,,0.5,0.0,0.0,819,0.001221001221001221
id_block2_h36_seed0,"ID 2-block, H=36",0.05,action_1_x_horizon,0.0,,,0.5,0.0,0.0,819,0.001221001221001221
id_block2_h36_seed0,"ID 2-block, H=36",0.05,action_2_x_blocked,0.0,,,0.5,0.0,0.0,819,0.001221001221001221
id_block2_h36_seed0,"ID 2-block, H=36",0.05,action_2_x_horizon,0.0,,,0.5,0.0,0.0,819,0.001221001221001221
id_block2_h36_seed0,"ID 2-block, H=36",0.05,action_3_x_blocked,0.0,,,0.5,0.0,0.0,819,0.001221001221001221
id_block2_h36_seed0,"ID 2-block, H=36",0.05,action_3_x_horizon,0.0,,,0.5,0.0,0.0,819,0.001221001221001221
id_block2_h36_seed0,"ID 2-block, H=36",0.05,action_4_x_blocked,0.0,,,0.5,0.0,0.0,819,0.001221001221001221
id_block2_h36_seed0,"ID 2-block, H=36",0.05,action_4_x_horizon,0.0,,,0.5,0.0,0.0,819,0.001221001221001221
block2_h72_seed11,"2-block, H=72",0.05,cheap_confidence,0.1234531795137686,-0.3950840917121727,-0.43636808323487825,0.1029535864978903,0.7062311967213949,0.9522908416729939,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,cheap_uncertainty,0.1234531795137686,0.39508409171217274,0.43636808323487825,0.8970464135021097,0.29376880327860516,0.04770915832700608,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,cheap_best_distance,0.2936962598208525,0.0323812196921479,0.0502529786556342,0.5908378541289934,1.9281371945426578,1.8607239297673672,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,cheap_second_best_distance,0.2703038451533718,-0.034837583988459,-0.027063872025521497,0.468414707655214,1.961728186834426,1.9951420962056028,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,cheap_pred_margin,0.0787513696671332,-0.24033837252553034,-0.2803072586871713,0.10874020494273659,0.033590992291768346,0.13441816643823548,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_1,0.4228515024465465,0.13727319868399007,0.15847957469415544,0.6530440024110911,0.5238095238095238,0.21772151898734177,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_2,0.42731703929401865,-0.06261359500121358,-0.05262448494633878,0.44864376130198913,0.14285714285714285,0.24556962025316456,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_3,0.4460284555228452,0.04190094895059951,0.03065248350651504,0.5312236286919831,0.3333333333333333,0.2708860759493671,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,action_4,0.43439169490287416,-0.11505592396338785,-0.13397555184436494,0.3670886075949367,0.0,0.26582278481012656,416,0.05048076923076923
block2_h72_seed11,"2-block, H=72",0.05,horizon_norm,0.0,,,0.5,1.0,1.0,416,0.05048076923076923
