lambda,variant,variant_label,cheap_util,full_util,oracle_util,oracle_route,conf_util,conf_route,context_util,context_route,geometry_util,geometry_route,geometry_acc,geometry_minus_context,geometry_minus_cheap,geometry_minus_full
0.05,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7907960199004974,0.9123134328358209,0.06218905472636816,0.8582089552238806,0.14925373134328357,0.8577114427860697,0.009950248756218905,0.861318407960199,0.03731343283582089,0.8631840796019901,0.003606965174129284,0.008084577114427893,0.07052238805970157
0.05,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7684019370460048,0.8876513317191284,0.16464891041162227,0.7700968523002423,0.288135593220339,0.7767554479418887,0.2033898305084746,0.784503631961259,0.24213075060532688,0.7966101694915254,0.0077481840193703855,0.053268765133171914,0.01610169491525426
0.1,id_block2_h36_seed0,"ID 2-block, H=36",0.9987789987789988,0.8987789987789988,0.9998778998778999,0.001221001221001221,0.9974358974358974,0.013431013431013432,0.9998778998778999,0.001221001221001221,0.9998778998778999,0.001221001221001221,1.0,0.0,0.001098901098901095,0.10109890109890107
0.1,block2_h72_seed11,"2-block, H=72",0.9302884615384616,0.8759615384615385,0.9757211538461538,0.05048076923076923,0.9545673076923078,0.09375,0.9728365384615384,0.07932692307692307,0.9742788461538462,0.06490384615384616,0.9807692307692307,0.0014423076923077982,0.043990384615384626,0.09831730769230773
0.1,block2_v18_seed12,"2-block, V=1.8",0.9873096446700508,0.8949238578680203,0.9964467005076143,0.01015228426395939,0.9908629441624365,0.04060913705583756,0.9956852791878172,0.017766497461928935,0.9961928934010152,0.012690355329949238,0.9974619289340102,0.0005076142131980044,0.008883248730964466,0.10126903553299493
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8464547677261615,0.21515892420537897,0.8916870415647922,0.007334963325183374,0.8914425427872861,0.009779951100244499,0.8924205378973105,-0.00024449877750609694,-0.00586797066014666,0.1625916870415648
0.1,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.7407960199004975,0.9092039800995025,0.06218905472636816,0.8507462686567165,0.14925373134328357,0.8572139303482588,0.009950248756218905,0.8594527363184079,0.03731343283582089,0.8631840796019901,0.002238805970149138,0.006218905472636815,0.11865671641791042
0.1,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.7184019370460049,0.8794188861985474,0.16464891041162227,0.7556900726392253,0.288135593220339,0.766585956416465,0.2033898305084746,0.7723970944309927,0.24213075060532688,0.7966101694915254,0.005811138014527706,0.041162227602905554,0.053995157384987835
0.2,id_block2_h36_seed0,"ID 2-block, H=36",0.9987789987789988,0.7987789987789988,0.9997557997557996,0.001221001221001221,0.997069597069597,0.008547008547008548,0.9997557997557996,0.001221001221001221,0.9997557997557996,0.001221001221001221,1.0,0.0,0.0009768009768008623,0.20097680097680082
0.2,block2_h72_seed11,"2-block, H=72",0.9302884615384616,0.7759615384615384,0.9706730769230769,0.05048076923076923,0.9423076923076923,0.06009615384615385,0.9649038461538461,0.07932692307692307,0.9677884615384615,0.06490384615384616,0.9807692307692307,0.0028846153846154854,0.03749999999999998,0.19182692307692317
0.2,block2_v18_seed12,"2-block, V=1.8",0.9873096446700508,0.7949238578680202,0.9954314720812183,0.01015228426395939,0.9903553299492386,0.02284263959390863,0.9939086294416244,0.017766497461928935,0.9949238578680203,0.012690355329949238,0.9974619289340102,0.0010152284263958977,0.0076142131979695105,0.20000000000000007
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8503667481662592,0.1491442542787286,0.8909535452322738,0.007334963325183374,0.8904645476772616,0.009779951100244499,0.8924205378973105,-0.0004889975550121939,-0.0068459657701711585,0.26161369193154027
0.2,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.6407960199004974,0.9029850746268657,0.06218905472636816,0.8527363184079603,0.10199004975124377,0.8562189054726368,0.009950248756218905,0.8557213930348259,0.03731343283582089,0.8631840796019901,-0.0004975124378109319,0.0024875621890547706,0.21492537313432847
0.2,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.6184019370460048,0.8629539951573849,0.16464891041162227,0.7423728813559322,0.19854721549636803,0.7462469733656174,0.2033898305084746,0.7481840193704601,0.24213075060532688,0.7966101694915254,0.0019370460048426796,0.016949152542372947,0.12978208232445532
0.3,id_block2_h36_seed0,"ID 2-block, H=36",0.9987789987789988,0.6987789987789987,0.9996336996336996,0.001221001221001221,0.9962148962148963,0.008547008547008548,0.9996336996336996,0.001221001221001221,0.9996336996336996,0.001221001221001221,1.0,0.0,0.0008547008547008517,0.3008547008547009
0.3,block2_h72_seed11,"2-block, H=72",0.9302884615384616,0.6759615384615385,0.965625,0.05048076923076923,0.9362980769230769,0.06009615384615385,0.9572115384615384,0.0625,0.9615384615384616,0.04807692307692308,0.9759615384615384,0.004326923076923173,0.03125,0.28557692307692306
0.3,block2_v18_seed12,"2-block, V=1.8",0.9873096446700508,0.6949238578680204,0.9944162436548224,0.01015228426395939,0.9880710659898477,0.02284263959390863,0.9928934010152284,0.015228426395939087,0.9944162436548224,0.01015228426395939,0.9974619289340102,0.0015228426395940131,0.007106598984771617,0.29949238578680204
0.3,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.5288508557457212,0.928117359413203,0.044009779951100246,0.8354523227383863,0.1491442542787286,0.8941320293398533,0.0024449877750611247,0.8973105134474327,0.0,0.8973105134474327,0.0031784841075794823,0.0,0.3684596577017115
0.3,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.5407960199004975,0.8967661691542289,0.06218905472636816,0.8425373134328358,0.10199004975124377,0.8524875621890547,0.0024875621890547263,0.8532338308457711,0.0,0.8532338308457711,0.0007462686567163423,0.0,0.31243781094527356
0.3,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.5184019370460049,0.8464891041162228,0.16464891041162227,0.7225181598062955,0.19854721549636803,0.7181598062953995,0.14043583535108958,0.7312348668280871,0.0,0.7312348668280871,0.013075060532687588,0.0,0.21283292978208224
0.5,id_block2_h36_seed0,"ID 2-block, H=36",0.9987789987789988,0.4987789987789988,0.9993894993894994,0.001221001221001221,0.9987789987789988,0.0,0.9993894993894994,0.001221001221001221,0.9993894993894994,0.001221001221001221,1.0,0.0,0.0006105006105006083,0.5006105006105006
0.5,block2_h72_seed11,"2-block, H=72",0.9302884615384616,0.47596153846153844,0.9555288461538461,0.05048076923076923,0.9302884615384616,0.0,0.9447115384615384,0.0625,0.9519230769230769,0.04807692307692308,0.9759615384615384,0.007211538461538436,0.021634615384615308,0.47596153846153844
0.5,block2_v18_seed12,"2-block, V=1.8",0.9873096446700508,0.4949238578680203,0.9923857868020305,0.01015228426395939,0.9873096446700508,0.0,0.9898477157360406,0.015228426395939087,0.9923857868020305,0.01015228426395939,0.9974619289340102,0.002538071065989911,0.005076142131979711,0.4974619289340102
0.5,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.32885085574572126,0.9193154034229829,0.044009779951100246,0.8973105134474327,0.0,0.8936430317848411,0.0024449877750611247,0.8973105134474327,0.0,0.8973105134474327,0.003667481662591676,0.0,0.5684596577017115
0.5,block3_h48_seed10,"3-block, H=48",0.8532338308457711,0.34079601990049746,0.8843283582089553,0.06218905472636816,0.8532338308457711,0.0,0.8519900497512438,0.0024875621890547263,0.8532338308457711,0.0,0.8532338308457711,0.0012437810945272743,0.0,0.5124378109452736
0.5,block3_h72_seed14,"3-block, H=72",0.7312348668280871,0.31840193704600483,0.8135593220338984,0.16464891041162227,0.7312348668280871,0.0,0.6900726392251816,0.14043583535108958,0.7312348668280871,0.0,0.7312348668280871,0.041162227602905554,0.0,0.4128329297820823
