seed,model,alpha,trajectory_id,samples,identity_error,model_error,improvement_vs_identity,ratio_vs_identity
2,cheap_residual,0.35,neighborhood/Hard/P005,2985,1.7782096862792969,1.7696822881698608,0.00852760300040245,0.995204508304596
2,cheap_residual,0.35,neighborhood/Hard/P006,2875,1.725838541984558,1.7182652950286865,0.007573133334517479,0.995611846446991
2,cheap_residual,0.35,neighborhood/Hard/P007,2650,1.444736123085022,1.4378271102905273,0.006909139454364777,0.9952178001403809
2,cheap_residual,0.35,neighborhood/Hard/P008,2985,1.456221103668213,1.45021653175354,0.006004366558045149,0.9958766102790833
2,cheap_residual,0.35,neighborhood/Hard/P009,1490,1.7716904878616333,1.7620447874069214,0.009645656682550907,0.994555652141571
2,cheap_residual,0.35,neighborhood/Hard/P010,2985,1.3450323343276978,1.3402844667434692,0.004747870843857527,0.9964700937271118
2,cheap_residual,0.35,neighborhood/Hard/P011,2985,1.603093147277832,1.5957368612289429,0.007356049958616495,0.995411217212677
2,cheap_residual,0.35,neighborhood/Hard/P012,2985,1.520764946937561,1.5139378309249878,0.0068272678181529045,0.9955107569694519
2,cheap_residual,0.35,neighborhood/Hard/P013,2470,1.6871439218521118,1.6776142120361328,0.009529837407171726,0.9943515658378601
2,cheap_residual,0.35,neighborhood/Hard/P014,2755,1.8206393718719482,1.8101495504379272,0.010489762760698795,0.9942383766174316
2,cheap_residual,0.35,neighborhood/Hard/P015,2985,1.7938584089279175,1.7826950550079346,0.011163468472659588,0.9937769174575806
2,cheap_residual,0.35,neighborhood/Hard/P016,2985,1.5751386880874634,1.5683900117874146,0.006748783402144909,0.9957154989242554
2,cheap_residual,0.35,neighborhood/Hard/P017,2985,1.3987083435058594,1.3947724103927612,0.003935900051146746,0.997186005115509
