lambda,heldout,variant_label,method,utility,ci95_low,ci95_high,delta_vs_fixed,delta_ci95_low,delta_ci95_high,stable_positive_vs_fixed,oracle_gap,n
0.01,block3_h36_seed13,"3-block, H=36",rf_oracle_label,0.8950199292290419,0.8656385751242849,0.9219897025325778,-0.00028039502902985156,-0.02719618235585055,0.024225132935857232,False,0.061520603048448086,409
0.02,block3_h36_seed13,"3-block, H=36",best_fixed_Small,0.8932901350687106,0.8639502817679771,0.9226299883694441,0.0,0.0,0.0,False,0.06135572166230896,409
0.02,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9546458567310195,0.9350880939882735,0.974153754826421,0.06135572166230896,,,True,0.0,409
0.02,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,0.8777843113174063,0.8458848904440701,0.9073222699085896,-0.015505823751304508,-0.04483231964784417,0.011540327962359587,False,0.07686154541361323,409
0.02,block3_h36_seed13,"3-block, H=36",rf_expected_utility,0.8770957646541466,0.8449808441237617,0.908578774011659,-0.016194370414564334,-0.047950815047903085,0.01556952432825816,False,0.07755009207687291,409
0.02,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,0.8898102482377898,0.860304984654605,0.9190418172926774,-0.003479886830921145,-0.03518578247835641,0.028235181526144636,False,0.06483560849322978,409
0.02,block3_h36_seed13,"3-block, H=36",rf_oracle_label,0.8927293450106514,0.8632029882338352,0.9221263925606488,-0.0005607900580595679,-0.027432008096963337,0.02634110468435363,False,0.06191651172036816,409
0.05,block3_h36_seed13,"3-block, H=36",best_fixed_Small,0.887259567500628,0.8554747264248332,0.9165994208013614,0.0,0.0,0.0,False,0.06170226259097933,409
0.05,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9489618300916073,0.9293645341340134,0.9661524318664733,0.06170226259097933,,,True,0.0,409
0.05,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,0.8707363081338055,0.8363026703310287,0.9003483920968394,-0.016523259366822404,-0.045807307420167795,0.012744204297758794,False,0.07822552195780175,409
0.05,block3_h36_seed13,"3-block, H=36",rf_expected_utility,0.8768594782481429,0.8452089336419192,0.9065610355594579,-0.010400089252485152,-0.041988084443060444,0.019777514458495068,False,0.07210235184346436,409
0.05,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,0.8822273320859169,0.8521020271315256,0.911763379477901,-0.0050322354147111555,-0.03615987514455779,0.024770447760762915,False,0.06673449800569042,409
0.05,block3_h36_seed13,"3-block, H=36",rf_oracle_label,0.8858575923554791,0.8540745617690783,0.9151923893926155,-0.0014019751451488985,-0.028370353317138393,0.025570526542149915,False,0.06310423773612817,409
0.1,block3_h36_seed13,"3-block, H=36",best_fixed_Small,0.8772086215538231,0.8454237804780285,0.9065484748545566,0.0,0.0,0.0,False,0.062279830805430425,409
0.1,block3_h36_seed13,"3-block, H=36",oracle_multicapacity,0.9394884523592535,0.9198912462948421,0.9567317620530931,0.062279830805430425,,,True,0.0,409
0.1,block3_h36_seed13,"3-block, H=36",ridge_expected_utility,0.856723049763947,0.8243903898983566,0.8866033191960693,-0.020485571789876138,-0.04983815669827133,0.0070819391249997195,False,0.08276540259530651,409
0.1,block3_h36_seed13,"3-block, H=36",rf_expected_utility,0.871743090238065,0.8402713804229257,0.9017072144664398,-0.005465531315758145,-0.03460115297510448,0.024132742114376965,False,0.06774536212118853,409
0.1,block3_h36_seed13,"3-block, H=36",logreg_oracle_label,0.8695891384994618,0.8371903048659306,0.900074534279414,-0.007619483054361195,-0.038965802968741914,0.022613509366032195,False,0.06989931385979165,409
