state_id,side,action,start_dist,object_x0,object_y0,object_x1,object_y1,pusher_x0,pusher_y0,pusher_x1,pusher_y1,object_disp,pusher_disp,contact
61,right,stay,0.15777115461127963,-0.02924875169992447,-0.07275182753801346,-0.02924875169992447,-0.07275182753801346,0.12852239608764648,-0.07275182753801346,0.12852239608764648,-0.07275182753801346,0.0,0.0,0
61,right,right,0.15777115461127963,-0.02924875169992447,-0.07275182753801346,-0.02924875169992447,-0.07275182753801346,0.12852239608764648,-0.07275182753801346,0.38511088490486145,-0.07275182753801346,0.0,0.25658848881721497,0
61,right,left,0.15777115461127963,-0.02924875169992447,-0.07275182753801346,-0.21807074546813965,-0.07275021821260452,0.12852239608764648,-0.07275182753801346,-0.11802391707897186,-0.07275190204381943,0.18882200121879578,0.24654631316661835,1
61,right,forward,0.15777115461127963,-0.02924875169992447,-0.07275182753801346,-0.02924875169992447,-0.07275182753801346,0.12852239608764648,-0.07275182753801346,0.12852239608764648,0.1838366687297821,0.0,0.25658848881721497,0
61,right,backward,0.15777115461127963,-0.02924875169992447,-0.07275182753801346,-0.02924875169992447,-0.07275182753801346,0.12852239608764648,-0.07275182753801346,0.12852239608764648,-0.3293403089046478,0.0,0.25658848881721497,0
62,back,stay,0.16944484505232482,-0.06839779764413834,0.015287038870155811,-0.06839779764413834,0.015287038870155811,-0.06839779764413834,-0.15415780246257782,-0.06839779764413834,-0.15415780246257782,0.0,0.0,0
62,back,right,0.16944484505232482,-0.06839779764413834,0.015287038870155811,-0.06839779764413834,0.015287038870155811,-0.06839779764413834,-0.15415780246257782,0.18819069862365723,-0.15415780246257782,0.0,0.25658848881721497,0
62,back,left,0.16944484505232482,-0.06839779764413834,0.015287038870155811,-0.06839779764413834,0.015287038870155811,-0.06839779764413834,-0.15415780246257782,-0.3249862790107727,-0.15415780246257782,0.0,0.25658848881721497,0
62,back,forward,0.16944484505232482,-0.06839779764413834,0.015287038870155811,-0.06819522380828857,0.20945769548416138,-0.06839779764413834,-0.15415780246257782,-0.06840561330318451,0.09217839688062668,0.1941707581281662,0.2463361918926239,1
62,back,backward,0.16944484505232482,-0.06839779764413834,0.015287038870155811,-0.06839779764413834,0.015287038870155811,-0.06839779764413834,-0.15415780246257782,-0.06839779764413834,-0.410746306180954,0.0,0.25658851861953735,0
63,front,stay,0.1472516929022663,-0.08423227071762085,0.07227436453104019,-0.08423227071762085,0.07227436453104019,-0.08423227071762085,0.21952605247497559,-0.08423227071762085,0.21952605247497559,0.0,0.0,0
63,front,right,0.1472516929022663,-0.08423227071762085,0.07227436453104019,-0.08423227071762085,0.07227436453104019,-0.08423227071762085,0.21952605247497559,0.17235621809959412,0.21952605247497559,0.0,0.25658848881721497,0
63,front,left,0.1472516929022663,-0.08423227071762085,0.07227436453104019,-0.08423227071762085,0.07227436453104019,-0.08423227071762085,0.21952605247497559,-0.3408207595348358,0.21952605247497559,0.0,0.25658848881721497,0
63,front,forward,0.1472516929022663,-0.08423227071762085,0.07227436453104019,-0.08423227071762085,0.07227436453104019,-0.08423227071762085,0.21952605247497559,-0.08423227071762085,0.47611454129219055,0.0,0.25658848881721497,0
63,front,backward,0.1472516929022663,-0.08423227071762085,0.07227436453104019,-0.08399662375450134,-0.13164843618869781,-0.08423227071762085,0.21952605247497559,-0.08424923568964005,-0.026372140273451805,0.20392294228076935,0.24589818716049194,1
64,left,stay,0.17870031784506912,0.0763477310538292,-0.0650487169623375,0.0763477310538292,-0.0650487169623375,-0.1023525819182396,-0.0650487169623375,-0.1023525819182396,-0.0650487169623375,0.0,0.0,0
64,left,right,0.17870031784506912,0.0763477310538292,-0.0650487169623375,0.2643316984176636,-0.06518862396478653,-0.1023525819182396,-0.0650487169623375,0.14413803815841675,-0.06503985077142715,0.18798400461673737,0.24649062752723694,1
64,left,left,0.17870031784506912,0.0763477310538292,-0.0650487169623375,0.0763477310538292,-0.0650487169623375,-0.1023525819182396,-0.0650487169623375,-0.35894107818603516,-0.0650487169623375,0.0,0.25658848881721497,0
64,left,forward,0.17870031784506912,0.0763477310538292,-0.0650487169623375,0.0763477310538292,-0.0650487169623375,-0.1023525819182396,-0.0650487169623375,-0.1023525819182396,0.19153977930545807,0.0,0.25658848881721497,0
64,left,backward,0.17870031784506912,0.0763477310538292,-0.0650487169623375,0.0763477310538292,-0.0650487169623375,-0.1023525819182396,-0.0650487169623375,-0.1023525819182396,-0.32163721323013306,0.0,0.25658848881721497,0
65,right,stay,0.14784474124333907,-0.08063782006502151,-0.0336419977247715,-0.08063782006502151,-0.0336419977247715,0.06720692664384842,-0.0336419977247715,0.06720692664384842,-0.0336419977247715,0.0,0.0,0
65,right,right,0.14784474124333907,-0.08063782006502151,-0.0336419977247715,-0.08063782006502151,-0.0336419977247715,0.06720692664384842,-0.0336419977247715,0.3237954080104828,-0.0336419977247715,0.0,0.25658848881721497,0
65,right,left,0.14784474124333907,-0.08063782006502151,-0.0336419977247715,-0.2806027829647064,-0.03349614143371582,0.06720692664384842,-0.0336419977247715,-0.1788659393787384,-0.033659256994724274,0.19996502995491028,0.24607285857200623,1
65,right,forward,0.14784474124333907,-0.08063782006502151,-0.0336419977247715,-0.08063782006502151,-0.0336419977247715,0.06720692664384842,-0.0336419977247715,0.06720692664384842,0.22294649481773376,0.0,0.25658848881721497,0
65,right,backward,0.14784474124333907,-0.08063782006502151,-0.0336419977247715,-0.08063782006502151,-0.0336419977247715,0.06720692664384842,-0.0336419977247715,0.06720692664384842,-0.29023048281669617,0.0,0.25658848881721497,0
66,back,stay,0.16829839042704245,-0.019596822559833527,-0.05952027067542076,-0.019596822559833527,-0.05952027067542076,-0.019596822559833527,-0.22781866788864136,-0.019596822559833527,-0.22781866788864136,0.0,0.0,0
