state_id,side,mean_future_xy_spread,max_future_xy_spread,contact_action_count,moving_contact_action_count,strong_displacement_action_count,rotation_action_count,nondegenerate,contact_mode_nontrivial
376,left,0.07484707236289978,0.18711768090724945,1,1,1,0,1,1
377,right,0.020745763182640077,0.05186440795660019,1,1,0,1,1,1
378,back,0.0,0.0,0,0,0,0,0,0
379,front,0.037949270009994505,0.09487317502498627,1,1,1,1,1,1
380,left,0.05359410047531128,0.1339852511882782,1,1,1,0,1,1
381,right,0.08496097326278687,0.21240243315696716,1,1,1,0,1,1
382,back,0.031232541799545287,0.07808135449886322,1,1,1,1,1,1
383,front,0.03587236106395721,0.08968090265989304,1,1,1,1,1,1
384,left,0.08029975891113281,0.20074939727783203,1,1,1,0,1,1
385,right,0.0,0.0,0,0,0,0,0,0
386,back,0.07905390262603759,0.197634756565094,1,1,1,0,1,1
387,front,0.079522043466568,0.19880510866641998,1,1,1,0,1,1
388,left,0.06733793616294861,0.16834484040737152,1,1,1,0,1,1
389,right,0.07930938601493835,0.1982734650373459,1,1,1,0,1,1
390,back,0.08083539605140685,0.20208849012851715,1,1,1,0,1,1
391,front,0.022119084000587465,0.05529771000146866,1,1,0,0,1,1
392,left,0.025150543451309203,0.06287635862827301,1,1,1,1,1,1
393,right,0.0,0.0,0,0,0,0,0,0
394,back,0.025124385952949524,0.06281096488237381,1,1,1,1,1,1
395,front,0.07640936970710754,0.19102342426776886,1,1,1,0,1,1
396,left,0.03284059166908264,0.0821014791727066,1,1,1,0,1,1
397,right,0.06618297696113587,0.16545744240283966,1,1,1,0,1,1
398,back,0.0,0.0,0,0,0,0,0,0
399,front,0.033277428150177,0.0831935703754425,1,1,1,0,1,1
400,left,0.06620467305183411,0.16551168262958527,1,1,1,1,1,1
401,right,0.0019608814269304275,0.004902203567326069,1,1,0,1,0,1
402,back,0.07988338470458985,0.1997084617614746,1,1,1,0,1,1
403,front,0.004479904100298882,0.011199760250747204,1,1,0,1,0,1
404,left,0.026044017076492308,0.06511004269123077,1,1,1,1,1,1
405,right,0.0,0.0,0,0,0,0,0,0
406,back,0.07449344396591187,0.18623360991477966,1,1,1,0,1,1
407,front,0.0,0.0,0,0,0,0,0,0
408,left,0.003737143720519498,0.009342859499156475,1,1,0,1,0,1
409,right,0.0,0.0,0,0,0,0,0,0
410,back,0.0,0.0,0,0,0,0,0,0
411,front,0.06084288358688354,0.15210720896720886,1,1,1,0,1,1
412,left,0.028125643730163574,0.07031410932540894,1,1,1,1,1,1
413,right,0.06179568767547607,0.15448921918869019,1,1,1,0,1,1
414,back,0.0,0.0,0,0,0,0,0,0
415,front,0.04629833996295929,0.11574584990739822,1,1,1,0,1,1
416,left,0.07044030427932739,0.17610076069831848,1,1,1,1,1,1
417,right,0.029343822598457338,0.07335955649614334,1,1,1,0,1,1
418,back,0.07027625441551208,0.1756906360387802,1,1,1,0,1,1
419,front,0.008497927337884903,0.021244818344712257,1,1,0,1,1,1
420,left,0.056810122728347776,0.14202530682086945,1,1,1,0,1,1
