lambda,heldout,variant_label,cheap,full,oracle,oracle_route,conf,conf_route,context_cls,context_cls_route,router,feature_set,util,route,k,rule,cols
0.1,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.7288508557457213,0.9369193154034231,0.044009779951100246,0.8689486552567237,0.13691931540342298,0.8845965770171148,0.029339853300733496,rescue_harm,context_geometry,0.8838630806845966,0.061124694376528114,50,"thr=0.1200,cap=0.3400","cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4,horizon_norm,velocity_norm,blocked_norm,blocked_x_horizon,blocked_x_velocity,complexity_score,uncertainty_x_blocked,uncertainty_x_horizon,uncertainty_x_velocity,margin_x_blocked,best_dist_x_blocked,second_dist_x_blocked,npz_anchor_blocked,npz_candidate_blocked_mean,npz_candidate_blocked_std,npz_blocked_mismatch_frac,npz_state_dist_min,npz_state_dist_mean,npz_state_dist_max,npz_state_dist_std,npz_same_state_neg_frac,npz_same_action_neg_frac,action_1_x_blocked,action_1_x_horizon,action_2_x_blocked,action_2_x_horizon,action_3_x_blocked,action_3_x_horizon,action_4_x_blocked,action_4_x_horizon"
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,knn_gain,uncertainty,0.8567237163814181,0.14180929095354522,15,tuned_threshold,"cheap_confidence,cheap_uncertainty"
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,rescue_harm,uncertainty,0.8650366748166259,0.12469437652811736,50,"thr=0.1800,cap=0.1200","cheap_confidence,cheap_uncertainty"
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,knn_gain,margin,0.8665036674816625,0.10513447432762836,15,gain_threshold,"cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin"
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,rescue_harm,margin,0.8581907090464548,0.12224938875305623,200,"thr=0.1300,cap=0.1050","cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin"
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,knn_gain,margin_action,0.8430317848410757,0.1491442542787286,15,tuned_threshold,"cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4"
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,rescue_harm,margin_action,0.8635696821515892,0.10757946210268948,50,"thr=0.1800,cap=0.1000","cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4"
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,knn_gain,context,0.8801955990220048,0.08557457212713937,15,tuned_threshold,"cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4,horizon_norm,velocity_norm"
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,rescue_harm,context,0.8777506112469438,0.03667481662591687,15,"thr=0.2667,cap=0.1333","cheap_confidence,cheap_uncertainty,cheap_best_distance,cheap_second_best_distance,cheap_pred_margin,action_1,action_2,action_3,action_4,horizon_norm,velocity_norm"
0.2,block3_h36_seed13,"3-block, H=36",0.8973105134474327,0.6288508557457213,0.9325183374083129,0.044009779951100246,0.8552567237163814,0.13691931540342298,0.8836185819070904,0.019559902200488997,knn_gain,mined_geometry_only,0.8973105134474327,0.0,15,tuned_threshold,"horizon_norm,velocity_norm,blocked_norm,blocked_x_horizon,blocked_x_velocity,complexity_score,npz_anchor_blocked,npz_candidate_blocked_mean,npz_candidate_blocked_std,npz_blocked_mismatch_frac,npz_state_dist_min,npz_state_dist_mean,npz_state_dist_max,npz_state_dist_std,npz_same_state_neg_frac,npz_same_action_neg_frac"
